id;color;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
3394;white;6.4;0.24;0.23;2;0.046;30;133;0.9908;3.12;0.54;11.4;7
3395;white;6.7;0.2;0.24;6.5;0.044;28;100;0.99348;3.12;0.33;10.2;6
3396;white;6.2;0.32;0.12;4.8;0.054;6;97;0.99424;3.16;0.5;9.3;5
3397;white;6.2;0.26;0.2;8;0.047;35;111;0.99445;3.11;0.42;10.4;6
3398;white;6.7;0.25;0.31;1.35;0.061;30.5;218;0.99388;3.16;0.53;9.5;5
3399;white;7.2;0.21;0.34;1.1;0.046;25;80;0.992;3.25;0.4;11.3;6
3400;white;5.9;0.4;0.32;6;0.034;50;127;0.992;3.51;0.58;12.5;7
3401;white;6;0.32;0.3;7.3;0.174;46;159;0.99519;3.18;0.49;9.4;5
3402;white;7.2;0.615;0.1;1.4;0.068;25;154;0.99499;3.2;0.48;9.7;4
3403;white;7.2;0.16;0.49;1.3;0.037;27;104;0.9924;3.23;0.57;10.6;6
3404;red;11.7;0.28;0.47;1.7;0.054;17;32;0.99686;3.15;0.67;10.6;7
3405;red;8.3;0.56;0.22;2.4;0.082;10;86;0.9983;3.37;0.62;9.5;5
3406;white;6.6;0.38;0.29;2.4;0.136;15;93;0.99336;3.18;0.6;9.5;5
3407;white;6.9;0.19;0.31;19.25;0.043;38;167;0.99954;2.93;0.52;9.1;7
3408;red;7.6;0.9;0.06;2.5;0.079;5;10;0.9967;3.39;0.56;9.8;5
3409;white;7.3;0.29;0.29;4.6;0.029;27;155;0.9931;3.07;0.26;10.6;6
3410;white;7.2;0.21;0.36;15.7;0.045;68;183;0.99922;3.25;0.76;9.4;5
3411;white;6.1;0.27;0.32;1.1;0.034;24;110;0.9898;3.36;0.4;12.5;6
3412;red;6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;6
3413;white;6.2;0.15;0.27;1.4;0.041;51;117;0.9909;3.28;0.38;11.2;6
3414;white;5.7;0.15;0.28;3.7;0.045;57;151;0.9913;3.22;0.27;11.2;6
3415;white;7.5;0.42;0.19;6.9;0.041;62;150;0.99508;3.23;0.37;10;6
3416;white;8.4;0.18;0.42;5.1;0.036;7;77;0.9939;3.16;0.52;11.7;5
3417;white;7.9;0.36;0.53;12.9;0.049;63;139;0.99792;2.94;0.45;9.1;5
3418;white;8.4;0.31;0.31;0.95;0.021;52;148;0.99038;2.93;0.32;11.5;5
3419;red;8.2;0.59;0;2.5;0.093;19;58;1.0002;3.5;0.65;9.3;6
3420;white;6.3;0.27;0.46;11.75;0.037;61;212;0.9971;3.25;0.53;9.5;6
3421;white;6.5;0.23;0.39;1.9;0.036;41;98;0.99;3.19;0.43;11.9;7
3422;white;6.8;0.37;0.28;1.9;0.024;64;106;0.98993;3.45;0.6;12.6;8
3423;white;6.6;0.26;0.56;15.4;0.053;32;141;0.9981;3.11;0.49;9.3;5
3424;white;7.2;0.08;0.49;1.3;0.05;18;148;0.9945;3.46;0.44;10.2;6
3425;red;9.4;0.5;0.34;3.6;0.082;5;14;0.9987;3.29;0.52;10.7;6
3426;white;6.1;0.37;0.36;4.7;0.035;36;116;0.991;3.31;0.62;12.6;6
3427;white;6.5;0.32;0.12;11.5;0.033;35;165;0.9974;3.22;0.32;9;5
3428;red;7.7;0.935;0.43;2.2;0.114;22;114;0.997;3.25;0.73;9.2;5
3429;white;7.4;0.16;0.3;13.7;0.056;33;168;0.99825;2.9;0.44;8.7;7
3430;white;7.6;0.18;0.46;10.2;0.055;58;135;0.9968;3.14;0.43;9.9;6
3431;white;6.9;0.2;0.36;1.5;0.031;38;147;0.9931;3.35;0.56;11;6
3432;red;7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;5
3433;white;6.8;0.35;0.32;2.4;0.048;35;103;0.9911;3.28;0.46;12;8
3434;red;10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7
3435;white;6.4;0.24;0.28;11.5;0.05;34;163;0.9969;3.31;0.45;9.5;5
3436;white;6.3;0.34;0.28;14.7;0.047;49;198;0.9977;3.23;0.46;9.5;5
3437;white;7.1;0.23;0.39;1.6;0.032;12;65;0.9898;3.25;0.4;12.7;7
3438;white;7.6;0.27;0.33;2;0.059;19;175;0.9944;3.22;0.56;9.9;5
3439;white;8.4;0.2;0.38;11.8;0.055;51;170;1.0004;3.34;0.82;8.9;6
3440;red;9.8;0.45;0.38;2.5;0.081;34;66;0.99726;3.15;0.58;9.8;5
3441;white;7.9;0.35;0.24;15.6;0.072;44;229;0.99785;3.03;0.59;10.5;6
3442;white;6.8;0.27;0.12;1.3;0.04;87;168;0.992;3.18;0.41;10;5
3443;white;4.8;0.21;0.21;10.2;0.037;17;112;0.99324;3.66;0.48;12.2;7
3444;white;5.9;0.28;0.34;3.6;0.04;50;194;0.9912;3.31;0.52;11.6;6
3445;white;7.2;0.29;0.2;7.7;0.046;51;174;0.99582;3.16;0.52;9.5;5
3446;red;7.3;0.65;0;1.2;0.065;15;21;0.9946;3.39;0.47;10;7
3447;white;6.8;0.44;0.37;5.1;0.047;46;201;0.9938;3.08;0.65;10.5;4
3448;white;7.1;0.37;0.67;10.5;0.045;49;155;0.9975;3.16;0.44;8.7;5
3449;white;8.2;0.22;0.49;9.6;0.037;53;154;0.9951;3.02;0.33;10.6;6
3450;red;6.6;0.5;0.04;2.1;0.068;6;14;0.9955;3.39;0.64;9.4;6
3451;white;7.5;0.34;0.24;3.85;0.031;5;34;0.99098;3.01;0.36;11.8;4
3452;red;8.6;0.42;0.39;1.8;0.068;6;12;0.99516;3.35;0.69;11.7;8
3453;white;6.5;0.24;0.38;1;0.027;31;90;0.98926;3.24;0.36;12.3;6
3454;white;8.6;0.22;0.33;1.2;0.031;38;95;0.99239;2.83;0.31;10.3;5
3455;red;7.2;0.66;0.03;2.3;0.078;16;86;0.99743;3.53;0.57;9.7;5
3456;white;6.3;0.41;0.18;3.5;0.027;23;109;0.99018;3.34;0.54;12.8;8
3457;white;6.1;0.16;0.27;12.6;0.064;63;162;0.9994;3.66;0.43;8.9;5
3458;white;6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6
3459;white;6.4;0.46;0.22;14.7;0.047;51;183;0.998275;3.39;0.6;10.5;5
3460;white;7.8;0.25;0.34;13.7;0.044;66;184;0.99976;3.22;0.75;8.9;5
3461;white;5.9;0.32;0.39;3.3;0.114;24;140;0.9934;3.09;0.45;9.2;6
3462;white;7.6;0.67;0.14;1.5;0.074;25;168;0.9937;3.05;0.51;9.3;5
3463;red;5.4;0.74;0.09;1.7;0.089;16;26;0.99402;3.67;0.56;11.6;6
3464;white;6;0.21;0.24;12.1;0.05;55;164;0.997;3.34;0.39;9.4;5
3465;white;7.4;0.19;0.42;6.4;0.067;39;212;0.9958;3.3;0.33;9.6;6
3466;red;7.5;0.52;0.16;1.9;0.085;12;35;0.9968;3.38;0.62;9.5;7
3467;white;7;0.39;0.24;1;0.048;8;119;0.9923;3;0.31;10.1;4
3468;red;12.2;0.34;0.5;2.4;0.066;10;21;1;3.12;1.18;9.2;6
3469;white;6.4;0.26;0.21;7.1;0.04;35;162;0.9956;3.39;0.58;9.9;6
3470;white;6.6;0.26;0.36;1.2;0.035;43;126;0.99094;3.01;0.63;11.4;6
3471;white;7.6;0.23;0.29;8.6;0.053;65;146;0.9963;3.11;0.32;9.8;6
3472;white;7.7;0.42;0.31;9.2;0.048;22;221;0.9969;3.06;0.61;9.2;6
3473;white;6.7;0.27;0.12;1.3;0.041;62;138;0.9921;3.21;0.42;10;6
3474;white;7.1;0.26;0.3;2;0.031;13;128;0.9917;3.19;0.49;11.4;5
3475;white;6;0.27;0.19;1.7;0.02;24;110;0.9898;3.32;0.47;12.6;7
3476;white;7.8;0.26;0.27;1.9;0.051;52;195;0.9928;3.23;0.5;10.9;6
3477;white;6.8;0.24;0.34;4.6;0.032;37;135;0.9927;3.2;0.39;10.6;5
3478;white;6;0.22;0.28;1.1;0.034;47;90;0.98862;3.22;0.38;12.6;6
3479;red;6.5;0.885;0;2.3;0.166;6;12;0.99551;3.56;0.51;10.8;5
3480;white;7.3;0.19;0.25;1.4;0.051;41;107;0.99382;3.53;0.66;10.5;7
3481;red;9.3;0.39;0.4;2.6;0.073;10;26;0.9984;3.34;0.75;10.2;6
3482;white;6.4;0.475;0.06;1;0.03;9;131;0.9904;2.97;0.29;10.8;5
3483;white;9.2;0.28;0.41;1;0.042;14;59;0.9922;2.96;0.25;10.5;6
3484;red;7.7;0.915;0.12;2.2;0.143;7;23;0.9964;3.35;0.65;10.2;7
3485;white;6.2;0.16;0.32;1.1;0.036;74;184;0.99096;3.22;0.41;11;6
3486;white;6.8;0.25;0.38;8.1;0.046;24;155;0.9956;3.33;0.59;10.2;6
3487;white;8.3;0.28;0.27;17.5;0.045;48;253;1.00014;3.02;0.56;9.1;6
3488;white;7.7;0.28;0.39;8.9;0.036;8;117;0.9935;3.06;0.38;12;7
3489;red;6.4;0.57;0.02;1.8;0.067;4;11;0.997;3.46;0.68;9.5;5
3490;white;7.1;0.26;0.32;14.45;0.074;29;107;0.998;2.96;0.42;9.2;6
3491;red;7.7;0.705;0.1;2.6;0.084;9;26;0.9976;3.39;0.49;9.7;5
3492;red;7.6;0.36;0.31;1.7;0.079;26;65;0.99716;3.46;0.62;9.5;6
3493;white;6.7;0.18;0.19;4.7;0.046;57;161;0.9946;3.32;0.66;10.5;6
3494;white;8.3;0.2;0.49;1.7;0.038;38;167;0.9939;3.05;0.37;10.1;6
3495;white;5.9;0.34;0.31;2;0.03;38;142;0.98892;3.4;0.41;12.9;7
3496;white;5.7;0.25;0.27;10.8;0.05;58;116;0.99592;3.1;0.5;9.8;6
3497;white;6.9;0.24;0.33;1.7;0.035;47;136;0.99;3.26;0.4;12.6;7
3498;red;12;0.63;0.5;1.4;0.071;6;26;0.99791;3.07;0.6;10.4;4
3499;white;6.4;0.24;0.49;5.8;0.053;25;120;0.9942;3.01;0.98;10.5;6
3500;white;7.9;0.29;0.39;6.7;0.036;6;117;0.9938;3.12;0.42;10.7;5
3501;red;5.9;0.55;0.1;2.2;0.062;39;51;0.99512;3.52;0.76;11.2;6
3502;white;7.4;0.16;0.31;6.85;0.059;31;131;0.9952;3.29;0.34;9.7;5
3503;white;6.9;0.26;0.29;4.2;0.043;33;114;0.9902;3.16;0.31;12.5;6
3504;white;6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
3505;white;7.8;0.26;0.49;3.1;0.045;21;116;0.9931;3.16;0.35;10.3;5
3506;white;7.9;0.42;0.49;8.2;0.056;32;164;0.9965;3.29;0.6;11.2;7
3507;white;6.6;0.28;0.42;8.2;0.044;60;196;0.99562;3.14;0.48;9.4;5
3508;white;6.7;0.26;0.39;6.4;0.171;64;200;0.99562;3.19;0.38;9.4;6
3509;white;6.9;0.28;0.4;8.2;0.036;15;95;0.9944;3.17;0.33;10.2;5
3510;white;6;0.28;0.22;12.15;0.048;42;163;0.9957;3.2;0.46;10.1;5
3511;white;6.1;0.28;0.3;7.75;0.031;33;139;0.99296;3.22;0.46;11;6
3512;red;7.2;0.38;0.3;1.8;0.073;31;70;0.99685;3.42;0.59;9.5;6
3513;white;7.1;0.49;0.22;2;0.047;146.5;307.5;0.9924;3.24;0.37;11;3
3514;white;6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
3515;red;6.8;0.65;0.02;2.1;0.078;8;15;0.99498;3.35;0.62;10.4;6
3516;white;8.7;0.34;0.46;13.8;0.055;68;198;0.9988;3.36;0.37;9.5;6
3517;white;8.1;0.26;0.3;7.8;0.049;39;152;0.9954;2.99;0.58;10;6
3518;red;6.9;0.49;0.1;2.3;0.074;12;30;0.9959;3.42;0.58;10.2;6
3519;white;8.6;0.2;0.42;1.5;0.041;35;125;0.9925;3.11;0.49;11.4;7
3520;red;6.9;0.765;0.02;2.3;0.063;35;63;0.9975;3.57;0.78;9.9;5
3521;red;7.2;1;0;3;0.102;7;16;0.99586;3.43;0.46;10;5
3522;white;6.6;0.3;0.3;4.8;0.17;60;166;0.9946;3.18;0.47;9.4;5
3523;white;5.7;0.21;0.32;0.9;0.038;38;121;0.99074;3.24;0.46;10.6;6
3524;white;5.8;0.23;0.31;4.5;0.046;42;124;0.99324;3.31;0.64;10.8;6
3525;white;6.4;0.35;0.28;1.6;0.037;31;113;0.98779;3.12;0.4;14.2;7
3526;white;7;0.24;0.24;9;0.03;42;219;0.99636;3.47;0.46;10.2;6
3527;white;7.1;0.2;0.37;1.5;0.049;28;129;0.99226;3.15;0.52;10.8;5
3528;white;8.6;0.265;0.36;1.2;0.034;15;80;0.9913;2.95;0.36;11.4;7
3529;white;6.2;0.47;0.19;8.3;0.029;24;142;0.992;3.22;0.45;12.3;6
3530;white;8.4;0.32;0.35;11.7;0.029;3;46;0.99439;3.02;0.34;11.8;6
3531;white;7.4;0.22;0.27;1.6;0.057;45;98;0.99299;3.29;0.44;9.9;7
3532;white;6.8;0.25;0.3;11.8;0.043;53;133;0.99524;3.03;0.58;10.4;6
3533;white;7.4;0.21;0.8;12.3;0.038;77;183;0.99778;2.95;0.48;9;5
3534;white;5.8;0.3;0.23;1.5;0.034;37;121;0.98871;2.96;0.34;12.1;6
3535;white;7.1;0.3;0.46;1.5;0.066;29;133;0.9906;3.12;0.54;12.7;6
3536;white;6.7;0.19;0.23;6.2;0.047;36;117;0.9945;3.34;0.43;9.6;6
3537;white;7.1;0.14;0.33;1;0.104;20;54;0.99057;3.19;0.64;11.5;6
3538;white;7.9;0.26;0.41;15.15;0.04;38;216;0.9976;2.96;0.6;10;6
3539;white;5.5;0.16;0.26;1.5;0.032;35;100;0.99076;3.43;0.77;12;6
3540;white;6.9;0.25;0.29;2.4;0.038;28;76;0.99088;3.01;0.36;11.7;7
3541;red;7.4;0.36;0.29;2.6;0.087;26;72;0.99645;3.39;0.68;11;5
3542;white;7.9;0.21;0.39;2;0.057;21;138;0.99176;3.05;0.52;10.9;5
3543;white;6.8;0.26;0.34;15.1;0.06;42;162;0.99705;3.24;0.52;10.5;3
3544;white;6.4;0.24;0.23;7.3;0.069;31;157;0.9962;3.25;0.53;9.1;5
3545;white;4.9;0.335;0.14;1.3;0.036;69;168;0.99212;3.47;0.46;10.4666666666667;5
3546;white;6.2;0.21;0.34;6.6;0.03;36;91;0.9914;3.32;0.45;12.5;7
3547;white;7.2;0.13;0.46;1.3;0.044;48;111;0.99127;2.97;0.45;11.1;5
3548;white;6.3;0.32;0.32;1.5;0.037;12;76;0.98993;3.3;0.46;12.3;6
3549;red;10.2;0.54;0.37;15.4;0.214;55;95;1.00369;3.18;0.77;9;6
3550;white;6.8;0.29;0.22;3.4;0.035;40;122;0.99024;3.09;0.47;12.3;6
3551;white;6.1;0.27;0.32;1.1;0.034;24;110;0.9898;3.36;0.4;12.5;6
3552;red;7.9;0.43;0.21;1.6;0.106;10;37;0.9966;3.17;0.91;9.5;5
3553;red;9.1;0.29;0.33;2.05;0.063;13;27;0.99516;3.26;0.84;11.7;7
3554;white;8;0.66;0.72;17.55;0.042;62;233;0.9999;2.92;0.68;9.4;4
3555;red;7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5
3556;white;6.6;0.23;0.3;14.9;0.051;33;118;0.99835;3.04;0.54;9;6
3557;red;7.3;0.66;0;2;0.084;6;23;0.9983;3.61;0.96;9.9;6
3558;white;5.6;0.235;0.29;1.2;0.047;33;127;0.991;3.34;0.5;11;7
3559;red;7.8;0.48;0.68;1.7;0.415;14;32;0.99656;3.09;1.06;9.1;6
3560;white;6.7;0.35;0.32;9;0.032;29;113;0.99188;3.13;0.65;12.9;7
3561;red;7.2;0.56;0.26;2;0.083;13;100;0.99586;3.26;0.52;9.9;5
3562;white;7.1;0.34;0.86;1.4;0.174;36;99;0.99288;2.92;0.5;9.3;5
3563;white;7.4;0.27;0.52;15.7;0.054;36;139;0.99788;3.04;0.62;10.0333333333333;6
3564;white;6;0.28;0.52;6.2;0.028;37;104;0.99161;3.28;0.51;11.8;7
3565;white;6.7;0.23;0.31;2.1;0.046;30;96;0.9926;3.33;0.64;10.7;8
3566;white;6.1;0.26;0.25;2.9;0.047;289;440;0.99314;3.44;0.64;10.5;3
3567;white;7;0.22;0.24;11;0.041;75;167;0.99508;2.98;0.56;10.5;6
3568;white;7.2;0.2;0.38;1;0.037;21;74;0.9918;3.21;0.37;11;5
3569;white;6.6;0.27;0.32;1.3;0.044;18;93;0.99044;3.11;0.56;12.25;5
3570;white;5.9;0.26;0.25;12.5;0.034;38;152;0.9977;3.33;0.43;9.4;5
3571;white;7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
3572;white;9.1;0.28;0.49;2;0.059;10;112;0.9958;3.15;0.46;10.1;5
3573;white;6.4;0.22;0.32;7.9;0.029;34;124;0.9948;3.4;0.39;10.2;5
3574;red;9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5
3575;white;7.3;0.22;0.3;8.2;0.047;42;207;0.9966;3.33;0.46;9.5;6
3576;white;8.2;0.18;0.49;1.1;0.033;28;81;0.9923;3;0.68;10.4;7
3577;white;6.5;0.32;0.23;8.5;0.051;20;138;0.9943;3.03;0.42;10.7;5
3578;white;6.4;0.32;0.23;16.2;0.055;36;176;0.9986;3.26;0.54;9.1;5
3579;white;6.9;0.33;0.21;1;0.053;39;148;0.9927;3.12;0.45;9.4;6
3580;white;6.9;0.34;0.3;4.7;0.029;34;148;0.99165;3.36;0.49;12.3;7
3581;white;7;0.47;0.07;1.1;0.035;17;151;0.991;3.02;0.34;10.5;5
3582;white;7.6;0.21;0.49;2.5;0.047;20;130;0.99178;3.15;0.48;11.1;5
3583;white;5;0.35;0.25;7.8;0.031;24;116;0.99241;3.39;0.4;11.3;6
3584;red;5.6;0.54;0.04;1.7;0.049;5;13;0.9942;3.72;0.58;11.4;5
3585;red;11.1;0.31;0.49;2.7;0.094;16;47;0.9986;3.12;1.02;10.6;7
3586;red;9.2;0.46;0.23;2.6;0.091;18;77;0.99922;3.15;0.51;9.4;5
3587;white;8.2;0.21;0.48;1.4;0.041;11;99;0.9958;3.17;0.57;9.9;5
3588;red;6.3;0.57;0.28;2.1;0.048;13;49;0.99374;3.41;0.6;12.8;5
3589;white;6.9;0.19;0.49;6.6;0.036;49;172;0.9932;3.2;0.27;11.5;6
3590;white;7.4;0.25;0.36;13.2;0.067;53;178;0.9976;3.01;0.48;9;6
3591;red;9.9;0.35;0.55;2.1;0.062;5;14;0.9971;3.26;0.79;10.6;5
3592;white;7.6;0.16;0.44;1.4;0.043;25;109;0.9932;3.11;0.75;10.3;6
3593;white;6.1;0.34;0.46;4.7;0.029;21;94;0.991;3.29;0.62;12.3;6
3594;red;9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
3595;white;6.2;0.45;0.73;7.2;0.099;47;202;0.99582;3.21;0.43;9.2;5
3596;red;7.3;0.73;0.24;1.9;0.108;18;102;0.9967;3.26;0.59;9.3;5
3597;white;7.2;0.23;0.39;14.2;0.058;49;192;0.9979;2.98;0.48;9;7
3598;red;5;0.74;0;1.2;0.041;16;46;0.99258;4.01;0.59;12.5;6
3599;white;5.8;0.25;0.28;11.1;0.056;45;175;0.99755;3.42;0.43;9.5;5
3600;white;7.1;0.31;0.5;14.5;0.059;6;148;0.9983;2.94;0.44;9.1;5
3601;red;7.5;0.63;0.27;2;0.083;17;91;0.99616;3.26;0.58;9.8;6
3602;white;7.3;0.25;0.29;7.5;0.049;38;158;0.9965;3.43;0.38;9.6;5
3603;red;6.3;0.51;0.13;2.3;0.076;29;40;0.99574;3.42;0.75;11;6
3604;white;8.7;0.3;0.59;1.7;0.046;10;70;0.99373;3.06;0.56;10.8;4
3605;white;5.7;0.27;0.32;1.2;0.046;20;155;0.9934;3.8;0.41;10.2;6
3606;white;5.7;0.25;0.32;12.2;0.041;43;127;0.99524;3.23;0.53;10.4;7
3607;white;7.4;0.28;0.4;11.9;0.032;13;92;0.99629;3.01;0.46;10.8;4
3608;white;6;0.39;0.26;2.7;0.038;39;187;0.99325;3.41;0.5;10.8;6
3609;red;7.1;0.75;0.01;2.2;0.059;11;18;0.99242;3.39;0.4;12.8;6
3610;white;6.4;0.2;0.32;3.1;0.041;18;126;0.9914;3.43;0.42;12;6
3611;red;8.5;0.46;0.31;2.25;0.078;32;58;0.998;3.33;0.54;9.8;5
3612;white;6.8;0.27;0.42;7.3;0.054;58;200;0.99556;3.12;0.49;9.4;6
3613;white;6.2;0.21;0.24;1.2;0.051;31;95;0.99036;3.24;0.57;11.3;6
3614;white;8.1;0.22;0.28;7.7;0.043;57;176;0.9954;3.12;0.55;10;5
3615;red;12.6;0.39;0.49;2.5;0.08;8;20;0.9992;3.07;0.82;10.3;6
3616;red;7.3;0.835;0.03;2.1;0.092;10;19;0.9966;3.39;0.47;9.6;5
3617;white;8;0.19;0.36;1.8;0.05;16;84;0.9936;3.15;0.45;9.8;7
3618;white;6.8;0.29;0.49;1.4;0.142;52;148;0.9937;3.08;0.49;9;6
3619;white;7.6;0.29;0.26;6.5;0.042;32;160;0.9944;3.14;0.47;10.7;5
3620;red;7.6;0.41;0.33;2.5;0.078;6;23;0.9957;3.3;0.58;11.2;5
3621;white;7.6;0.28;0.17;1.6;0.046;28;117;0.99288;3.08;0.43;10;5
3622;white;6.9;0.21;0.49;1.4;0.041;15;164;0.9927;3.25;0.63;11;5
3623;white;6.9;0.34;0.36;1.4;0.032;13;145;0.99214;3.07;0.52;9.8;5
3624;white;5.6;0.42;0.34;2.4;0.022;34;97;0.98915;3.22;0.38;12.8;7
3625;red;7.3;0.67;0.26;1.8;0.401;16;51;0.9969;3.16;1.14;9.4;5
3626;white;6;0.1;0.24;1.1;0.041;15;65;0.9927;3.61;0.61;10.3;7
3627;white;6.3;0.21;0.28;1.5;0.051;46;142;0.9928;3.23;0.42;10.1;6
3628;red;8.2;0.4;0.31;1.9;0.082;8;24;0.996;3.24;0.69;10.6;6
3629;white;8;0.45;0.36;8.8;0.026;50;151;0.9927;3.07;0.25;12.7;8
3630;white;7.3;0.16;0.35;1.5;0.036;29;108;0.99342;3.27;0.51;10.2;6
3631;white;6.7;0.24;0.37;11.3;0.043;64;173;0.99632;3.08;0.53;9.9;6
3632;white;6.2;0.25;0.54;7;0.046;58;176;0.99454;3.19;0.7;10.4;5
3633;white;6.7;0.26;0.29;5.8;0.025;26;74;0.9929;3.28;0.53;11;6
3634;white;7.7;0.39;0.28;4.9;0.035;36;109;0.9918;3.19;0.58;12.2;7
3635;red;8.8;0.52;0.34;2.7;0.087;24;122;0.9982;3.26;0.61;9.5;5
3636;white;7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7
3637;white;6.9;0.24;0.36;20.8;0.031;40;139;0.9975;3.2;0.33;11;6
3638;white;6;0.17;0.29;9.7;0.044;33;98;0.99536;3.12;0.36;9.2;6
3639;red;9.2;0.92;0.24;2.6;0.087;12;93;0.9998;3.48;0.54;9.8;5
3640;white;5.9;0.44;0.36;2.5;0.03;12;73;0.99201;3.22;0.48;10.8;6
3641;white;7;0.32;0.31;6.4;0.031;38;115;0.99235;3.38;0.58;12.2;7
3642;red;8.9;0.745;0.18;2.5;0.077;15;48;0.99739;3.2;0.47;9.7;6
3643;red;11.2;0.28;0.56;1.9;0.075;17;60;0.998;3.16;0.58;9.8;6
3644;white;7.3;0.22;0.37;14.3;0.063;48;191;0.9978;2.89;0.38;9;6
3645;white;8;0.34;0.49;9;0.033;39;180;0.9936;3.13;0.38;12.3;8
3646;white;6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5
3647;white;5.6;0.12;0.33;2.9;0.044;21;73;0.98896;3.17;0.32;12.9;8
3648;white;5.2;0.365;0.08;13.5;0.041;37;142;0.997;3.46;0.39;9.9;6
3649;red;9.3;0.655;0.26;2;0.096;5;35;0.99738;3.25;0.42;9.6;5
3650;white;10.3;0.25;0.48;2.2;0.042;28;164;0.998;3.19;0.59;9.7;5
3651;red;6.3;1.02;0;2;0.083;17;24;0.99437;3.59;0.55;11.2;4
3652;red;8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5
3653;white;7.9;0.16;0.3;4.8;0.037;37;171;0.9967;3.47;0.44;9;4
3654;white;6.9;0.17;0.25;1.6;0.047;34;132;0.9914;3.16;0.48;11.4;5
3655;white;6.1;0.18;0.36;2;0.038;20;249.5;0.9923;3.37;0.79;11.3;6
3656;white;5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
3657;white;6.2;0.3;0.21;1.1;0.032;31;111;0.9889;2.97;0.42;12.2;6
3658;white;6.1;0.32;0.33;10.7;0.036;27;98;0.99521;3.34;0.52;10.2;6
3659;white;6;0.36;0.32;1.1;0.053;26;173;0.99414;3.38;0.54;8.8;5
3660;white;7.4;0.29;0.28;10.2;0.032;43;138;0.9951;3.1;0.47;10.6;6
3661;white;7.2;0.08;0.49;1.3;0.05;18;148;0.9945;3.46;0.44;10.2;6
3662;red;6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6
3663;white;7.4;0.24;0.42;14;0.066;48;198;0.9979;2.89;0.42;8.9;6
3664;white;7.9;0.14;0.28;1.8;0.041;44;178;0.9954;3.45;0.43;9.2;6
3665;white;6.2;0.3;0.32;1.7;0.032;30;130;0.9911;3.28;0.41;11.2;7
3666;white;7.7;0.31;0.23;2;0.069;29;134;0.99382;3.11;0.62;9.8;5
3667;white;6;0.28;0.52;5;0.078;30;139;0.99494;3.1;0.36;9;6
3668;white;7.7;0.24;0.27;1.8;0.051;52;190;0.9928;3.23;0.5;10.8;6
3669;white;6.2;0.21;0.52;6.5;0.047;28;123;0.99418;3.22;0.49;9.9;6
3670;white;7.7;0.28;0.35;15.3;0.056;31;117;0.9998;3.27;0.5;9.6;5
3671;red;8;0.81;0.25;3.4;0.076;34;85;0.99668;3.19;0.42;9.2;5
3672;white;7.6;0.16;0.41;1.9;0.047;27;151;0.9937;3.2;0.53;10.1;6
3673;red;5.1;0.51;0.18;2.1;0.042;16;101;0.9924;3.46;0.87;12.9;7
3674;white;6.4;0.27;0.19;2;0.084;21;191;0.99516;3.49;0.63;9.6;4
3675;white;7.6;0.34;0.39;7.6;0.04;45;215;0.9965;3.11;0.53;9.2;6
3676;red;7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5
3677;white;5.1;0.29;0.28;8.3;0.026;27;107;0.99308;3.36;0.37;11;6
3678;white;6.3;0.32;0.35;11.1;0.039;29;198;0.9984;3.36;0.5;9.4;7
3679;red;6.4;0.31;0.09;1.4;0.066;15;28;0.99459;3.42;0.7;10;7
3680;white;6.5;0.34;0.28;1.8;0.041;43;188;0.9928;3.13;0.37;9.6;6
3681;white;6;0.38;0.26;6;0.034;42;134;0.9912;3.38;0.38;12.3;7
3682;white;6.4;0.22;0.49;7.5;0.054;42;151;0.9948;3.27;0.52;10.1;6
3683;white;7.5;0.33;0.38;8.7;0.126;49;199;0.99711;2.98;0.57;9.4;5
3684;white;6.9;0.36;0.34;4.2;0.018;57;119;0.9898;3.28;0.36;12.7;9
3685;white;6.4;0.18;0.74;11.9;0.046;54;168;0.9978;3.58;0.68;10.1;5
3686;white;7.9;0.28;0.41;4.9;0.058;31;153;0.9966;3.27;0.51;9.7;6
3687;white;6.9;0.4;0.37;8.9;0.053;36;148;0.996;3.16;0.5;9.3;5
